Resource URL,Resource Type,Title,Authors,Authors As Published,Editors,Contributors,Divisions,Abstract,Full Text,DOI,Publication Status,Publication,ISBN,ISSN,eISSN,Volume,Issue,Pages,Publication Date,Publication Year,First Published,Recorded Quarter,Publisher,Keywords,JEL Codes,FRS Taxonomy,Cite As,File Format,Public Address,Work ID,Earlier Versions,Later Versions,Rights,Supporting Data,Data Sources,m1,RePEc ID,Authors URI,Publisher URI,Publication URI,Editors URI,CDM Record
https://linkinghub.elsevier.com/retrieve/pii/S002205312400111X,Academic articles,Understanding uncertainty shocks and the role of black swans,"Orlik, Anna; Veldkamp, Laura",Anna Orlik; Laura Veldkamp,,,Monetary Affairs,"Uncertainty shocks can trigger business cycles, bank runs and asset price fluctuations. But how do those shocks translate into changes in beliefs and actions? What makes people suddenly become uncertain? This paper provides an explanation for subjective uncertainty shocks, estimated on real-time GDP data, that fits puzzling features of professional forecasts. The key ingredients are that agents do not know the true model governing the distribution of macroeconomic outcomes, but they believe that distribution to be potentially skewed. When agents estimate higher probabilities of extreme tail events, their uncertainty rises. Our estimates reveal that learning about probabilities of tail events – black swans – explains much of the fluctuations in subjective uncertainty.",,10.1016/j.jet.2024.105905,Online only,Journal of Economic Theory,,0022-0531,1095-7235,222,,,2024-12,2024.0,,2024Q3 (MA),Elsevier,,,Financial economics; Risk,"Orlik, Anna, and Laura Veldkamp (2024). ""Understanding uncertainty shocks and the role of black swans&#44;"" Journal of Economic Theory, vol. 222 (December). DOI: https://doi.org/10.1016/j.jet.2024.105905",,,7427.3,,,,,,m1aao00,"pve40: Veldkamp, Laura",http://taxonomy.frb.gov/rl/person/i2696; http://taxonomy.frb.gov/rl/person/i3622,,,,12550
https://www.federalreserve.gov/econres/feds/revisiting-risky-money.htm,Working papers,Revisiting Risky Money,"Nesmith, Travis D.",Travis D. Nesmith,,,Reserve Bank Operations and Payment Systems,"Risk was first incorporated into monetary aggregation over thirty-five years ago,using a stochastic version of the workhorse money-in-the-utility-function model.Nevertheless, the mathematical foundations of this stochastic model remain shaky.To firm the foundations, this paper employs a slightly richer probability conceptthan standard Borel-measurability, which enables me to prove the existence of awell-behaved solution and to derive stochastic Euler equations. This measurabilityapproach is long-established albeit less common in economics, possibly because the derivation of stochastic Euler equations is new. Importantly, the problem’s economics are not restricted by the approach. Consequently, the results provide firm footing for the growing monetary aggregation under risk literature, which integrates monetary and finance theory. As crypto-currencies and stable coins garner more attention, solidifying the foundations of risky money becomes more critical. The method also supports deriving stochastic Euler equations for any dynamic economics problem that features contemporaneous uncertainty about prices, including asset pricing models like CAPM and stochastic consumer choice models.",,10.17016/FEDS.2024.090,Online only,Finance and Economics Discussion Series,,1936-2854,2767-3898,,2024-090,36 p.,2024-11-26,2024.0,,,Board of Governors of the Federal Reserve System (U.S.),Money; Risk; Monetary aggregation; Asset pricing; Dynamic programming; Stochastic modeling; Uncertainty; Euler equations,C61; C62; D81; D84; E40; G12,Econometrics and economic theory; Monetary economics,"Nesmith, Travis D. (2024). ""Revisiting Risky Money&#44;"" Finance and Economics Discussion Series 2024-090. Washington: Board of Governors of the Federal Reserve System. https://doi.org/10.17016/FEDS.2024.090",Adobe Portable Document Format,https://www.federalreserve.gov/econres/feds/files/2024090pap.pdf,9218.0,,,,,,m1tdn00,"pne82: Nesmith, Travis D.",http://taxonomy.frb.gov/rl/person/i2621,http://taxonomy.frb.gov/rl/organization/o95,http://taxonomy.frb.gov/rl/publication/p382,,12620
https://www.federalreserve.gov/econres/ifdp/the-global-misallocation-of-capital.htm,Working papers,The Global (Mis)Allocation of Capital,"Bertaut, Carol C.; Curcuru, Stephanie E.; Faia, Ester; Gourinchas, Pierre-Olivier",Carol Bertaut; Stephanie E. Curcuru; Ester Faia; Pierre-Olivier Gourinchas,,,International Finance,"The allocative efficiency of capital flows is one of the oldest and most contentious questions. We answer it by matching cross-border securities holdings reported in the US external statistics from 1995 to 2022 with the corresponding firm-level measures of allocative efficiency. We find that US investors tilt their international equity investment toward firms with high MRPK and markups, thereby fostering their potential for growth. Foreign investors tilt their holdings toward US firms with high productivity and intangible capital. A horse race shows that productivity is the best predictor of foreign investment in US firms and MRPK for US investment in foreign firms. Both US and foreign firms that receive more international funding increase spending on intangible capital, and foreign firms also increase tangible capital. The results are stronger for more productive firms.",,10.17016/IFDP.2024.1399,Online only,International Finance Discussion Papers,,1073-2500,2767-4509,,1399,42 p.,2024-11-25,2024.0,,,Board of Governors of the Federal Reserve System (U.S.),Productivity; Capital allocation; Capital flows,E20; F30; F60,International economics,"Bertaut, Carol, Stephanie E. Curcuru, Ester Faia, and Pierre-Olivier Gourinchas (2024). ""The Global (Mis)Allocation of Capital&#44;"" International Finance Discussion Papers 1399. Washington: Board of Governors of the Federal Reserve System. https://doi.org/10.17016/IFDP.2024.1399",Adobe Portable Document Format,https://www.federalreserve.gov/econres/ifdp/files/ifdp1399.pdf,9219.0,,,,,Treasury International Capital (TIC) Data : http://library.frb.gov/record=e1000292 <br> World Development Indicators Online : http://library.frb.gov/record=e1000315 <br> Worldscope Fundamentals : http://library.frb.gov/record=e1000361,m1sec00; m1cab01,"pfa22: Faia, Ester",[Carol Bertaut]; http://taxonomy.frb.gov/rl/person/i749; http://taxonomy.frb.gov/rl/person/i1052; http://taxonomy.frb.gov/rl/person/i1369,http://taxonomy.frb.gov/rl/organization/o95,http://taxonomy.frb.gov/rl/publication/p525,,12621
https://www.federalreserve.gov/econres/ifdp/how-does-fiscal-policy-affect-the-transmission-of-monetary-policy-into-cross-border-bank-lending.htm,Working papers,How Does Fiscal Policy affect the Transmission of Monetary Policy into Cross-border Bank Lending? Cross-country Evidence,"Pradhan, Swapan-Kumar; Takáts, Előd; Temesvary, Judit",Swapan-Kumar Pradhan; Előd Takáts; Judit Temesvary,,,International Finance,"We use a rarely accessed BIS database on bilateral cross-border bank claims by bank nationality to examine the interaction of monetary and fiscal policies. We find significant interactions: the transmission of the monetary policies of major currency issuers is significantly influenced by the fiscal stance of source (home) lending banking systems. Fiscal consolidation in a source country amplifies the effect of currency issuers' monetary policy on lending. For instance, a reduction in the German debt-to-GDP ratio amplifies the negative impact of US monetary policy tightening on USD-denominated cross-border bank lending outflows from German banks. The interaction effects are the strongest for US monetary policy.",,10.17016/IFDP.2024.1400,Online only,International Finance Discussion Papers,,1073-2500,2767-4509,,1400,58 p.,2024-11-25,2024.0,,,Board of Governors of the Federal Reserve System (U.S.),Monetary policy; Government debt; Cross-border claims; Difference-in-differences,E63; F34; F42; G21; G38,Financial institutions and services; International economics; Monetary policy; Fiscal policy; Loans,"Pradhan, Swapan-Kumar, Előd Takáts, and Judit Temesvary (2024). ""How Does Fiscal Policy affect the Transmission of Monetary Policy into Cross-border Bank Lending? Cross-country Evidence&#44;"" International Finance Discussion Papers 1400. Washington: Board of Governors of the Federal Reserve System. https://doi.org/10.17016/IFDP.2024.1400",Adobe Portable Document Format,https://www.federalreserve.gov/econres/ifdp/files/ifdp1400.pdf,9220.0,,,,,,m1jxt03,"pte207: Temesvary, Judit",http://taxonomy.frb.gov/rl/person/i5383; [Előd Takáts]; http://taxonomy.frb.gov/rl/person/i3479,http://taxonomy.frb.gov/rl/organization/o95,http://taxonomy.frb.gov/rl/publication/p525,,12622
https://www.federalreserve.gov/econres/notes/feds-notes/the-current-month-fed-information-effect-20241121.html,Short articles and notes,The Current Month Fed Information Effect,"Friedrichs, Melanie; Miller, David S.",Melanie Friedrichs; David S. Miller,,,Research and Statistics,"Economic forecasters may believe that interest rate changes by the Federal Reserve (Fed) reveal information about the state of the economy. If so, forecasters will update their forecasts of the economy based on this information; e.g. if the Fed cuts rates unexpectedly, forecasters may conclude the economy is in worse shape than they had previously thought.",,10.17016/2380-7172.3656,Online only,FEDS Notes,,,2380-7172,,2024-11-21-1,,2024-11-21,2024.0,,,Board of Governors of the Federal Reserve System (U.S.),,,Econometrics and economic theory; Information economics,"Friedrichs, Melanie, and David S. Miller (2024). ""The Current Month Fed Information Effect&#44;"" FEDS Notes 2024-11-21-1. Washington: Board of Governors of the Federal Reserve System, November 21, https://doi.org/10.17016/2380-7172.3656",Adobe Portable Document Format,https://www.federalreserve.gov/econres/notes/feds-notes/the-current-month-fed-information-effect-20241121.html,9216.0,,,,,"Bloomberg Terminals (Open, Anywhere, and Disaster Recovery Licenses) : http://library.frb.gov/record=e1000044",m1dsm01,"pmi636: Miller, David S.",http://taxonomy.frb.gov/rl/person/i1195; http://taxonomy.frb.gov/rl/person/i2462,http://taxonomy.frb.gov/rl/organization/o95,http://taxonomy.frb.gov/rl/publication/p379,,12616
https://www.federalreserve.gov/econres/feds/credit-supply-and-hedge-fund-performance-evidence-from-prime-broker-surveys.htm,Working papers,Credit Supply and Hedge Fund Performance: Evidence from Prime Broker Surveys,"Li, Dan; Monin, Phillip J.; Petrasek, Lubomir",Dan Li; Phillip J. Monin; Lubomir Petrasek,,,Monetary Affairs,"Constraints on the supply of credit by prime brokers affect hedge funds' leverage and performance. Using dealer surveys and hedge fund regulatory filings, we identify individual funds' credit supply from the availability of credit under agreements currently in place between a hedge fund and its prime brokers. We find that hedge funds connected to prime brokers that make more credit available to their hedge fund clients increase their borrowing and generate higher returns and alphas. These effects are more pronounced among hedge funds that rely on a small number of prime brokers, and those that rely on borrowing rather than derivatives for their leverage. Credit supply matters more for hedge fund performance during periods of financial market stress and when trading opportunities are abundant.",,10.17016/FEDS.2024.089,Online only,Finance and Economics Discussion Series,,1936-2854,2767-3898,,2024-089,35 p.,2024-11-21,2024.0,,2024Q4 (MA),Board of Governors of the Federal Reserve System (U.S.),Hedge funds; Dealers; Leverage; Prime brokerage; Financing; Surveys,G23,Financial economics,"Li, Dan, Phillip J. Monin, and Lubomir Petrasek (2024). ""Credit Supply and Hedge Fund Performance: Evidence from Prime Broker Surveys&#44;"" Finance and Economics Discussion Series 2024-089. Washington: Board of Governors of the Federal Reserve System. https://doi.org/10.17016/FEDS.2024.089",Adobe Portable Document Format,https://www.federalreserve.gov/econres/feds/files/2024089pap.pdf,9215.0,,,,,Senior Credit Officer Opinion Survey : http://library.frb.gov/record=e1000694,m1lxp01; m1pxm03; m1dxl01,"pli229: Li, Dan",http://taxonomy.frb.gov/rl/person/i2119; http://taxonomy.frb.gov/rl/person/i2508; http://taxonomy.frb.gov/rl/person/i2798,http://taxonomy.frb.gov/rl/organization/o95,http://taxonomy.frb.gov/rl/publication/p382,,12619
https://www.federalreserve.gov/econres/notes/feds-notes/flexing-the-factory-the-role-of-temporary-help-workers-in-manufacturing-20241121.html,Short articles and notes,Flexing the Factory? The Role of Temporary Help Workers in Manufacturing,"Bowdle, Spencer; Tito, Maria D.",Spencer Bowdle; Maria D. Tito,,,Research and Statistics,"Since the COVID-19 pandemic, the demand for flexible work arrangements has notably increased, driven by the need for adaptability in the face of disruptions caused by lockdowns, work-from-home mandates, economic uncertainty, and supply chain shortages. The surge in demand for flexibility could have also provided a boost to the temporary help services industry (NAICS 56132), which provides businesses with temporary workers on a contractual basis.",,10.17016/2380-7172.3650,Online only,FEDS Notes,,,2380-7172,,2024-11-21-2,,2024-11-21,2024.0,,,Board of Governors of the Federal Reserve System (U.S.),,,Labor economics; Labor supply; Manufacturing,"Bowdle, Spencer, and Maria D. Tito (2024). ""Flexing the Factory? The Role of Temporary Help Workers in Manufacturing&#44;"" FEDS Notes 2024-11-21-2. Washington: Board of Governors of the Federal Reserve System, November 21, https://doi.org/10.17016/2380-7172.3650",Adobe Portable Document Format,https://www.federalreserve.gov/econres/notes/feds-notes/flexing-the-factory-the-role-of-temporary-help-workers-in-manufacturing-20241121.html,9217.0,,,,,Current Population Survey : http://library.frb.gov/record=e1000301 <br> Survey of Plant Capacity Utilization : http://library.frb.gov/record=e1000062,m1mdt02; m1sbb01,,[Spencer Bowdle]; http://taxonomy.frb.gov/rl/person/i3516,http://taxonomy.frb.gov/rl/organization/o95,http://taxonomy.frb.gov/rl/publication/p379,,12618
https://www.federalreserve.gov/econres/feds/locked-in-rate-hikes-housing-markets-and-mobility.htm,Working papers,"Locked In: Rate Hikes, Housing Markets, and Mobility","Aladangady, Aditya; Krimmel, Jacob; Scharlemann, Tess C.",Aditya Aladangady; Jacob Krimmel; Tess Scharlemann,,,Research and Statistics,"Rising interest rates in 2022 introduced large moving costs for homeowners with low, fixed-rate mortgages. Using a novel dataset linking mortgage loans, consumer credit profiles, and property sales, we examine the effects of rate hikes on household mobility and the broader economic impacts of the resulting mortgage rate lock-in. As market rates rise relative to those on borrowers’ existing loans, likelihood of moving falls with the highest elasticity among borrowers just “in the money.” Our results suggest about 44% of the decline in moves among mortgage holders between 2021 and 2022 may be attributable to the widening gap between borrower’s existing and market rates. We find limited scope for labor misallocation due to lock-in, as moves across labor market areas are rather unaffected. Instead, lock-in primarily reduces within-metro churn and moves up the housing ladder, leading to fewer real estate listings and greater house price growth. We explain lock-in-driven price increases through a housing search model: in a seller’s market, reduced churn raises market tightness, driving up prices. Consistentwith such a model, we show measures of market tightness increase in response to lock-in, with the most significant effects in markets that were already tight.",,10.17016/FEDS.2024.088,Online only,Finance and Economics Discussion Series,,1936-2854,2767-3898,,2024-088,59 p.,2024-11-20,2024.0,,,Board of Governors of the Federal Reserve System (U.S.),Mortgages and credit; Mobility; Housing demand; Rate lock; Housing supply,G21; G51; R21; R31,Consumer economics; Real estate and regional economics; Residential real estate,"Aladangady, Aditya, Jacob Krimmel, and Tess Scharlemann (2024). ""Locked In: Rate Hikes, Housing Markets, and Mobility&#44;"" Finance and Economics Discussion Series 2024-088. Washington: Board of Governors of the Federal Reserve System. https://doi.org/10.17016/FEDS.2024.088",Adobe Portable Document Format,https://www.federalreserve.gov/econres/feds/files/2024088pap.pdf,9214.0,,,,,CoreLogic Real Estate Data : http://library.frb.gov/record=e1000472 <br> Credit Risk Insight Servicing McDash Data : http://library.frb.gov/record=e1000505 <br> FRBNY Consumer Credit Panel / Equifax : http://library.frb.gov/record=e1000039,m1jak01; m1axa06; m1tcs00,"pkr338: Krimmel, Jacob; pal968: Aladangady, Aditya",http://taxonomy.frb.gov/rl/person/i62; http://taxonomy.frb.gov/rl/person/i1963; [Tess Scharlemann],http://taxonomy.frb.gov/rl/organization/o95,http://taxonomy.frb.gov/rl/publication/p382,,12615
https://www.financialresearch.gov/briefs/2024/11/14/repo-market-intermediation/,Short articles and notes,Repo Market Intermediation: Dealer Cash and Collateral Flow Management across the U.S. Repo Market,"Hempel, Samuel J.; Kahn, R. Jay; Mann, Robert; Paddrik, Mark E.",Samuel J. Hempel; R. Jay Kahn; Robert Mann; Mark E. Paddrik,,,Research and Statistics,"Dealers manage cash and collateral on their balance sheet and across counterparties to facilitate short-term funding markets. This brief provides a comprehensive view of how dealers perform this pivotal service for borrowers and lenders through a high degree of collateral reuse. In doing so, they must transform counterparty, collateral, and maturity risks on their balance sheets. This analysis examines the size and compensation that dealers receive for these risks, which, when improperly managed, can threaten financial stability (Brief no. 24-07).",,,Online only,OFR Brief Series,,,,,24-07,12 p.,2024-11-14,2024.0,,,Office of Financial Research (Treasury),,,,,,,9213.0,,,,,,m1sjh05; m1rjk04,,http://taxonomy.frb.gov/rl/person/i4648; http://taxonomy.frb.gov/rl/person/i4650; http://taxonomy.frb.gov/rl/person/i4895; http://taxonomy.frb.gov/rl/person/i4209,http://taxonomy.frb.gov/rl/organization/o513,http://taxonomy.frb.gov/rl/publication/p817,,12613
https://www.federalreserve.gov/econres/ifdp/new-evidence-on-the-us-excess-return-on-foreign-portfolios.htm,Working papers,New Evidence on the US Excess Return on Foreign Portfolios,"Bertaut, Carol C.; Curcuru, Stephanie E.; Faia, Ester; Gourinchas, Pierre-Olivier",Carol C. Bertaut; Stephanie E. Curcuru; Ester Faia; Pierre-Olivier Gourinchas,,,International Finance,"We provide new estimates of the return on US external claims and liabilities using confidential, high-quality, security-level data. The excess return is positive on average, since claims are tilted toward higher-return equities. The excess return is large and positive in normal times but large and negative during global crises, reflecting the global insurance role of the US external balance sheet. Controlling for issuer's nationality, we find that US investors have a larger exposure to equity issued by Asia-headquartered corporations than reported in the aggregate statistics. Finally, equity portfolios are concentrated in 'superstar' firms, but for US liabilities foreign holdings are less concentrated than the overall market.",,10.17016/IFDP.2024.1398,Online only,International Finance Discussion Papers,,1073-2500,2767-4509,,1398,29 p.,2024-11-13,2024.0,,,Board of Governors of the Federal Reserve System (U.S.),Capital flows; Cross-border investment; Exorbitant privilege,F30; F21; F32,International economics,"Bertaut, Carol C., Stephanie E. Curcuru, Ester Faia, and Pierre-Olivier Gourinchas (2024). ""New Evidence on the US Excess Return on Foreign Portfolios&#44;"" International Finance Discussion Papers 1398. Washington: Board of Governors of the Federal Reserve System. https://doi.org/10.17016/IFDP.2024.1398",Adobe Portable Document Format,https://www.federalreserve.gov/econres/ifdp/files/ifdp1398.pdf,9211.0,,,,,"Bloomberg Terminals (Open, Anywhere, and Disaster Recovery Licenses) : http://library.frb.gov/record=e1000044 <br> IMF eLibrary Portal : http://library.frb.gov/record=e1000014 <br> Treasury International Capital (TIC) Data : http://library.frb.gov/record=e1000292",m1sec00; m1cab01,"pfa22: Faia, Ester",http://taxonomy.frb.gov/rl/person/i320; http://taxonomy.frb.gov/rl/person/i749; http://taxonomy.frb.gov/rl/person/i1052; http://taxonomy.frb.gov/rl/person/i1369,http://taxonomy.frb.gov/rl/organization/o95,http://taxonomy.frb.gov/rl/publication/p525,,12610
